Blockchain,Date,Marketplace,Sales,Buyers,NFTs,Collections,Volume,PriceAverage,PriceMedian,PriceMax,PriceFloor
Avalanche,2022-12-11,Element,73,73,17,3,4823.118325,66.07011404,52.77675,158.33025,0.135325
Avalanche,2022-12-11,FarmLand,3,3,3,1,2203.091,734.3636667,676.625,1339.7175,186.7485
Avalanche,2022-12-11,Nifty Protocol,57,18,57,11,1612.992805,28.29811939,13.5189675,323.42675,2.7065
Avalanche,2022-12-11,Others,369,194,673,77,273357.9785,360.1554394,43.304,2077.88831,0.135325
Avalanche,2022-12-11,Roostr,11,6,11,1,5199.051175,472.6410159,350.49175,933.7425,338.3125
Avalanche,2022-12-11,Seaport,28,17,28,12,293.9827365,10.49938345,1.217925,54.13,0.135325
Avalanche,2022-12-11,chikn,5,4,5,1,7172.225,1434.445,1488.575,1556.2375,1312.6525
BSC,2022-12-11,Element,32,25,52,5,66001.47958,1047.642533,1163.021667,2616.79875,290.7554167
BSC,2022-12-11,MarketNG,6,5,10,5,3489.065,348.9065,290.7554167,581.5108333,290.7554167
BSC,2022-12-11,Nifty Protocol,16,10,16,2,4652.086667,290.7554167,290.7554167,290.7554167,290.7554167
BSC,2022-12-11,Others,62,46,64,21,50300.68708,773.8567244,290.7554167,3489.065,290.7554167
BSC,2022-12-11,Seaport,26,19,31,5,27621.76458,863.1801432,581.5108333,2035.287917,290.7554167
Ethereum,2022-12-11,Blur,5508,3203,5983,285,23939197.91,2146.435749,280.27,89250.7,0.13
Ethereum,2022-12-11,Larva Labs,2,2,2,1,189609.47,94804.735,94804.735,105858.8,83750.67
Ethereum,2022-12-11,LooksRare,287,216,284,60,3979064.64,13307.90849,227.68,1025279.28,0.13
Ethereum,2022-12-11,NFTX,42,40,88,16,131930.04,1499.205,215.07,85603.95,6.91
Ethereum,2022-12-11,OpenSea,29593,15712,12338,903,8103358.45,189.676477,34.39,98121.98,0.01
Ethereum,2022-12-11,Rarible,45,27,40,6,17226.20346,382.8045213,24.3285063,13034.2075,1.27E-14
Ethereum,2022-12-11,Sudoswap,403,255,657,54,257106.09,368.8753085,37.46,13498.84,0.63
Ethereum,2022-12-11,X2Y2,1608,1096,1859,49,4742768.7,2044.296853,41,994751.59,0.38
Flow,2022-12-11,AeraPack,8,8,8,1,7.86402E-05,9.83003E-06,9.86836E-06,1.03028E-05,9.28065E-06
Flow,2022-12-11,ChainmonstersMarketplace,4,1,4,1,7.007002336,1.751750584,0.75075025,5.005001668,0.500500167
Flow,2022-12-11,FindMarketSale,20,10,20,2,152.2651795,7.613258975,3.066294877,38,2
Flow,2022-12-11,FlovatarMarketplace,29,8,29,2,1072.385528,36.97881132,33.72924365,254.5024748,3.066294877
Flow,2022-12-11,MatrixMarketOpenOffer,2,1,2,1,61.32589754,30.66294877,30.66294877,30.66294877,30.66294877
Flow,2022-12-11,MotoGPNFTStorefront,1,1,1,1,20.06079487,20.06079487,20.06079487,20.06079487,20.06079487
Flow,2022-12-11,NFTStorefront,4928,1182,4753,29,71541.42116,14.51733384,5,1500,0.2
Flow,2022-12-11,NFTStorefrontV2,2089,76,179,5,27377,13.10531355,10,495,4
