Blockchain,DEX,Days,Swaps,Swappers,Volume,AmountAverage,AmountMedian,Swaps/Day,Swappers/Day,Volume/Day,Swaps/Swapper,Volume/Swapper
BSC,Powermade,2,3,3,23.20208908,7.734029694,8.439269372,2,2,12,1,8
BSC,Volt Inu (Volt),1,1,1,5104.056068,5104.056068,5104.056068,1,1,5104,1,5104
BSC,Crypter,6,7,7,3.564989625,0.509284232,0.585994959,1,1,1,1,1
BSC,Safenebula,1,1,1,0.030917594,0.030917594,0.030917594,1,1,0,1,0
BSC,Metallurgy,1,1,1,0.643941598,0.643941598,0.643941598,1,1,1,1,1
BSC,Coinxpad,1,1,1,0.06942572,0.06942572,0.06942572,1,1,0,1,0
BSC,Devolution Metaverse,4,8,8,145.0444822,18.13056027,15.80494868,2,2,36,1,18
BSC,Reflex Finance,4,4,3,973.4629692,243.3657423,123.7037411,1,1,243,1,324
BSC,Jindo Inu,1,1,1,46.02941113,46.02941113,46.02941113,1,1,46,1,46
BSC,Metahamster,1,1,1,2.031986963,2.031986963,2.031986963,1,1,2,1,2
BSC,Ethernal Finance,2,2,2,137.4830374,68.74151871,68.74151871,1,1,69,1,69
BSC,Niob Finance,1,1,1,98.46231529,98.46231529,98.46231529,1,1,98,1,98
BSC,Corsac,1,1,1,0.165388379,0.165388379,0.165388379,1,1,0,1,0
BSC,Bnb Defi,1,1,1,0.238359942,0.238359942,0.238359942,1,1,0,1,0
BSC,Y-5 Finance,8,54,51,1.988586716,0.03682568,0.01315697,7,6,0,1,0
BSC,Steam Exchange,5,5,5,32.39023662,6.478047323,6.566676091,1,1,6,1,6
BSC,Ecoin Finance,4,4,4,6.357732754,1.589433189,1.468156325,1,1,2,1,2
BSC,Early Bird,1,1,1,1.532935486,1.532935486,1.532935486,1,1,2,1,2
BSC,Floki Rocket,1,1,1,0.040317977,0.040317977,0.040317977,1,1,0,1,0
BSC,Starship,1,1,1,398.9164232,398.9164232,398.9164232,1,1,399,1,399
BSC,Sonar Platform,2,2,2,198.6286193,99.31430967,99.31430967,1,1,99,1,99
BSC,Safemoon,8,194,104,48695.02215,251.0052688,70.42011763,24,13,6087,2,468
BSC,Bitvalley,1,1,1,0.025794678,0.025794678,0.025794678,1,1,0,1,0
BSC,Cryogen,2,2,2,0.529885922,0.264942961,0.264942961,1,1,0,1,0
BSC,Savebee,2,2,2,3.597039276,1.798519638,1.798519638,1,1,2,1,2
BSC,Elonbank,1,1,1,0.171144211,0.171144211,0.171144211,1,1,0,1,0
BSC,Grimacecoin,4,4,4,17.50364553,4.375911382,4.410448257,1,1,4,1,4
BSC,Moonrat,1,2,2,4.691865566,2.345932783,2.345932783,2,2,5,1,2
BSC,Moonlight Token,1,1,1,177.4300732,177.4300732,177.4300732,1,1,177,1,177
BSC,Whenlambo,1,1,1,0.523691857,0.523691857,0.523691857,1,1,1,1,1
BSC,Shield Coin,1,1,1,0.004245362,0.004245362,0.004245362,1,1,0,1,0
BSC,FatSwap,8,3357,1746,281741.5853,83.92659674,18.70617094,420,218,35218,2,161
BSC,Cake Monster,8,31,27,2821.457458,91.01475671,1.704441892,4,3,353,1,104
BSC,Hornhub Finance,1,1,1,148.5132687,148.5132687,148.5132687,1,1,149,1,149
BSC,Caash,1,1,1,1.066850693,1.066850693,1.066850693,1,1,1,1,1
BSC,Meta Face,1,1,1,252.1076921,252.1076921,252.1076921,1,1,252,1,252
BSC,Movey,1,1,1,0.300395523,0.300395523,0.300395523,1,1,0,1,0
BSC,Safehaven Defi,1,1,1,1.132184297,1.132184297,1.132184297,1,1,1,1,1
BSC,Do Token,1,1,1,880.8569052,880.8569052,880.8569052,1,1,881,1,881
BSC,Eroverse,3,23,19,6.108931688,0.265605726,0.209191391,8,6,2,1,0
BSC,Brewlabs,5,9,8,57.48368679,6.38707631,0.070492801,2,2,11,1,7
BSC,Flokimooni,5,10,4,35.22567352,3.522567352,2.538735994,2,1,7,3,9
BSC,Zufinance,1,1,1,0.021461847,0.021461847,0.021461847,1,1,0,1,0
BSC,Tarp,2,2,2,1356.309715,678.1548574,678.1548574,1,1,678,1,678
BSC,Exzocoin,1,1,1,0.727595498,0.727595498,0.727595498,1,1,1,1,1
BSC,Utopia,1,1,1,0.044978921,0.044978921,0.044978921,1,1,0,1,0
BSC,Safuu,8,248,141,89706.68438,361.7205015,24.64541016,31,18,11213,2,636
Ethereum,Curve,8,14278,679,1220341517,74000.45584,9029.82,1785,85,152542690,21,1797263
Ethereum,synthetix,8,224,133,19970337.82,89153.29382,70611.13224,28,17,2496292,2,150153
Ethereum,SushiSwap,8,42392,236,86636715.66,1836.652088,491.3226569,5299,30,10829589,180,367105
Ethereum,Balancer,8,8728,2635,1207061566,101501.9817,3514.79,1091,329,150882696,3,458088
Ethereum,Uniswap,8,401897,401,6502210276,12801.89458,574.902433,50237,50,812776285,1002,16214988
Flow,RevvFlowSwapPair,7,20,15,3310.434304,165.5217152,17.95277482,3,2,473,1,221
Flow,FusdUsdtSwapPair,7,686,297,92703.06468,135.1356628,14.04896118,98,42,13243,2,312
Flow,BltUsdtSwapPair,8,175,91,50066.50986,286.0943421,17.79051942,22,11,6258,2,550
Flow,StarlyUsdtSwapPair,8,581,22,45381.42119,78.10915867,63.73576987,73,3,5673,26,2063
