Blockchain,Day,Hour,Sales,Marketplaces,Buyers,NFTs,Collections,Volume,PriceAverage,PriceMedian,PriceMax,PriceFloor
Arbitrum,1.Monday,18,119,6,101,177,29,5001.025614,28.09564951,11.28525184,832.7391225,0.075235012
BSC,1.Monday,18,2,2,2,7,2,2028.497917,289.7854167,289.7854167,289.7854167,289.7854167
Algorand,1.Monday,18,61,4,30,54,20,1859.182888,30.47840799,3.628325,435.4365833,0.024188833
NEAR,1.Monday,18,10,1,6,9,4,172.6497745,17.26497745,3.224254296,112.8489004,0.019660373
Polygon,1.Monday,18,236,12,128,1498,49,10855.20407,7.236802712,5.33592925,177.8643083,0.889321542
Algorand,1.Monday,19,57,4,34,57,16,1313.09715,23.03679211,7.622317391,309.1599742,0.023949012
BSC,1.Monday,19,3,2,3,8,2,9821.449583,1227.681198,1398.764583,1398.764583,559.5058333
NEAR,1.Monday,19,18,1,10,17,7,422.8788162,23.49326757,18.47517274,87.14704124,0.019660373
Solana,1.Monday,19,2546,8,1023,2430,303,218072.0746,85.55201042,13.17451691,5425.797801,0.001317452
Polygon,1.Monday,19,375,16,220,748,66,8564.073125,10.69172675,4.629978542,495.407704,0.889321542
Arbitrum,1.Monday,19,113,3,108,130,24,3192.743176,24.00558779,18.80875307,485.5509652,0.075235012
Optimism,1.Monday,19,110,1,98,100,21,1297.472166,11.48205457,12.54,62.68,0.13
Ethereum,1.Monday,19,3200,7,2442,3091,282,1719518.076,364.150376,44.825,82819.44,0.01
Avalanche,1.Monday,19,42,11,31,47,22,3898.33949,77.9667898,28.9256875,383.206087,0.398975
Flow,1.Monday,19,1830,7,650,1659,15,25626.77143,14.00370024,3,1900,9.10522E-06
Polygon,1.Monday,20,251,13,169,705,70,12810.01027,16.94445803,4.629978542,259.2787983,0.889321542
Solana,1.Monday,20,3701,8,981,3628,286,253958.6055,68.61891529,1.25242832,5260.198945,0.029443755
BSC,1.Monday,20,9,5,7,9,7,9502.72375,1055.858194,289.7854167,6665.064583,279.7529167
Avalanche,1.Monday,20,36,9,21,63,15,14666.1208,232.7955682,79.795,1981.575833,1.063933333
Ethereum,1.Monday,20,3190,7,2354,3116,294,1866292.736,389.6227005,37.425,82874.25,0.07
Arbitrum,1.Monday,20,73,4,69,93,19,7052.334775,73.46182058,18.93414476,896.795978,0.075235012
