Blockchain,Day,Hour,Blocks,Transactions,Users,Fees
Solana,1.Monday,17,15361,2494706,17149,194.3493659
Gnosis,1.Monday,17,2316,273025,135885,164.1342763
Algorand,1.Monday,17,1936,78684,4777,23.72631996
Polygon,1.Monday,17,3365,267530,57158,2875.999871
NEAR,1.Monday,17,6107,42413,7786,120.3824114
Avalanche,1.Monday,17,3517,12644,3883,1088.997019
Axelar,1.Monday,17,361,4897,376,23.7762754
Ethereum,1.Monday,17,592,97633,46218,243986.1846
Cosmos,1.Monday,17,1032,4835,2299,165.1667965
Optimism,1.Monday,17,33840,33840,6854,4543.057193
Osmosis,1.Monday,17,1022,6766,1389,37.26184048
Flow,1.Monday,17,5263,31954,128,0.528401233
BSC,1.Monday,17,2316,273025,135885,46795.36515
NEAR,1.Monday,18,6073,37541,7169,112.1973465
Solana,1.Monday,18,15591,2376414,20624,184.0126302
Cosmos,1.Monday,18,1056,5543,2554,212.6349563
Avalanche,1.Monday,18,3407,11904,3638,1124.909556
Gnosis,1.Monday,18,2314,222220,97590,129.7109002
Polygon,1.Monday,18,3283,227448,45231,2082.096287
Optimism,1.Monday,18,29362,29362,6779,3952.184698
Axelar,1.Monday,18,306,2721,338,15.9865849
Osmosis,1.Monday,18,1220,9620,1697,46.36493115
Algorand,1.Monday,18,1941,98035,5588,28.38946511
Ethereum,1.Monday,18,599,98037,45325,273065.3163
Flow,1.Monday,18,5248,30073,115,0.465981534
Arbitrum,1.Monday,18,23484,54050,8073,2477.024219
BSC,1.Monday,18,2314,222220,97590,37002.13076
Axelar,1.Monday,19,348,2412,362,15.55409649
Osmosis,1.Monday,19,1227,8434,1739,36.39232112
Algorand,1.Monday,19,1941,77755,4475,23.69950984
Gnosis,1.Monday,19,2329,198970,83033,122.6260137
NEAR,1.Monday,19,6020,37018,6699,111.034922
Avalanche,1.Monday,19,3483,11497,3281,1223.680171
Solana,1.Monday,19,15468,2493693,17710,214.550494
Cosmos,1.Monday,19,1055,5446,2587,162.2044045
Arbitrum,1.Monday,19,22151,50139,6915,2467.381043
BSC,1.Monday,19,2329,198970,83033,34991.53052
Flow,1.Monday,19,5292,30847,125,0.452552215
Polygon,1.Monday,19,3284,219850,40180,2576.845847
Ethereum,1.Monday,19,593,92449,39481,267729.8331
Optimism,1.Monday,19,26565,26565,5364,4185.84555
Flow,1.Monday,20,5269,32983,114,0.608879578
Polygon,1.Monday,20,3299,256989,50987,9273.575326
Cosmos,1.Monday,20,1055,5427,2610,201.0710922
Axelar,1.Monday,20,274,1858,287,14.22483044
Algorand,1.Monday,20,1947,100355,3747,28.19204337
NEAR,1.Monday,20,5943,34302,6680,102.9756323
Avalanche,1.Monday,20,3443,9844,3089,900.8601725
Osmosis,1.Monday,20,1211,7258,1650,30.78181726
Arbitrum,1.Monday,20,21596,48187,7726,2241.93708
Optimism,1.Monday,20,23136,23136,4508,2822.489036
Solana,1.Monday,20,15319,2505281,19471,211.1202764
Gnosis,1.Monday,20,2342,176090,76931,118.1213927
Ethereum,1.Monday,20,598,87385,37577,227804.8371
BSC,1.Monday,20,2342,176090,76931,33708.77745
Algorand,1.Monday,21,1920,75948,4023,24.20756621
Ethereum,1.Monday,21,599,89361,39400,200764.5018
Arbitrum,1.Monday,21,21501,47928,7605,2063.398598
Optimism,1.Monday,21,20136,20136,3263,2407.298181
Cosmos,1.Monday,21,1047,5038,2476,202.8230595
Polygon,1.Monday,21,3444,221859,41288,2625.894958
Osmosis,1.Monday,21,1216,8200,1460,34.8859017
Avalanche,1.Monday,21,3555,11251,3421,992.112413
Gnosis,1.Monday,21,2366,190158,89324,114.0842138
BSC,1.Monday,21,2366,190158,89324,32546.00864
NEAR,1.Monday,21,5895,32296,5759,95.73962153
Axelar,1.Monday,21,242,2283,274,13.7976912
Flow,1.Monday,21,5223,44797,122,1.111138255
Solana,1.Monday,21,15013,2389998,17335,198.5633098
Osmosis,1.Monday,22,1198,6904,1101,28.08139125
BSC,1.Monday,22,2365,154181,64484,28094.89796
Cosmos,1.Monday,22,1032,4379,2185,164.6612795
Axelar,1.Monday,22,320,3082,309,17.04220863
Arbitrum,1.Monday,22,18730,39864,6165,1550.835455
Ethereum,1.Monday,22,595,85636,39837,184863.0939
Algorand,1.Monday,22,1933,82692,5067,29.23533776
Solana,1.Monday,22,14395,2109366,13927,183.3402718
NEAR,1.Monday,22,5803,27939,4950,84.85275484
Gnosis,1.Monday,22,2365,154181,64484,98.52733943
Flow,1.Monday,22,5187,50178,113,1.131226509
Optimism,1.Monday,22,18084,18084,3175,1836.933034
Polygon,1.Monday,22,3231,194219,38213,2768.83465
Avalanche,1.Monday,22,3510,9287,3062,892.6890211
NEAR,1.Monday,23,5420,22912,3598,69.5346071
Avalanche,1.Monday,23,3515,9475,2953,964.2772657
Cosmos,1.Monday,23,987,3581,1838,230.9264344
Axelar,1.Monday,23,311,4594,341,24.13026467
Osmosis,1.Monday,23,1178,5409,926,23.54020988
Polygon,1.Monday,23,3363,212437,48312,2179.994791
Algorand,1.Monday,23,1943,69465,3810,20.51096349
Optimism,1.Monday,23,14689,14689,2525,1497.270858
BSC,1.Monday,23,2349,152816,65430,27588.86296
Ethereum,1.Monday,23,597,80521,34946,190654.6104
Solana,1.Monday,23,15618,2170840,13772,171.6975462
Flow,1.Monday,23,5223,60748,85,1.227005546
Gnosis,1.Monday,23,2349,152816,65430,96.83458693
Arbitrum,1.Monday,23,16248,34002,4915,1328.554508
Solana,2.Tuesday,0,15691,2157533,11795,168.7437248
BSC,2.Tuesday,0,2357,206159,91513,36126.29275
Flow,2.Tuesday,0,5230,61684,86,1.134550521
Algorand,2.Tuesday,0,1941,71549,3671,20.50921068
Arbitrum,2.Tuesday,0,15762,33425,5034,1376.398355
Gnosis,2.Tuesday,0,2357,206159,91513,130.5015107
Axelar,2.Tuesday,0,224,1571,180,11.92098347
Osmosis,2.Tuesday,0,1175,5099,889,19.93748593
Ethereum,2.Tuesday,0,596,85679,36029,203920.7614
Polygon,2.Tuesday,0,3305,282170,59898,2830.351807
Avalanche,2.Tuesday,0,3550,10459,2822,1504.492867
Cosmos,2.Tuesday,0,959,3507,1784,101.4071098
Optimism,2.Tuesday,0,16563,16563,3079,1749.240032
NEAR,2.Tuesday,0,5408,20622,2935,61.07772405
Polygon,2.Tuesday,1,3263,244447,52637,2099.547527
Cosmos,2.Tuesday,1,940,3164,1620,86.60387845
